GameID	Precipitation	SnowFall	SnowDepth	MaxTemperature	MinTemperature	FogFlag	ThunderFlag	HailFlag	DustFlag	HighWindFlag	RainFlag	SnowFlag	UnknownPrecipFlag
5501	11	0	0	91	73	0	1	0	0	0	1	0	0
5502	0	0	0	50	26	0	0	0	0	0	0	0	0
5503	0	0	0	59	39	0	0	0	0	0	0	0	0
5504	0	0	0	77	57	0	0	0	0	0	0	0	0
5505	1	0	0	48	33	1	0	0	0	0	1	0	0
5506	0	0	0	68	48	1	0	0	1	0	0	0	0
5507	0	0	0	53	39	0	0	0	0	0	0	0	0
5508	0	0	0	80	64	0	0	0	0	0	0	0	0
5509	2	0	0	64	48	0	0	0	0	0	1	0	0
5510	0	0	0	86	69	0	0	0	0	0	0	0	0
5511	0	0	0	69	62	0	0	0	0	0	0	0	0
5512	0	0	0	89	71	1	0	0	0	0	0	0	0
5513	3	0	0	53	33	1	0	0	0	0	1	1	0
5514	0	0	0	69	60	0	0	0	0	0	0	0	0
5515	5	0	0	75	50	1	0	0	0	0	1	0	0
5516				59	35	0	0	0	0	0	0	0	0
5517	0	0	0	84	57	0	0	0	0	0	0	0	0
5518	0	0	0	80	60	0	0	0	0	0	0	0	0
5519	0	0	0	84	62	0	0	0	0	0	0	0	0
5520	0	0	0	53	37	0	0	0	0	0	1	0	0
5521	10	0	0	60	48	0	0	0	0	0	1	0	0
5522	0	0	0	55	44	0	0	0	0	0	0	0	0
5523	0	0	0	80	50	0	0	0	0	0	0	0	0
5524	0	0	0	73	39	0	0	0	0	0	0	0	0
5525	0	0	0	44	23	0	0	0	0	0	0	0	0
5526	0	0	0	68	53	0	0	0	0	0	0	0	0
5527	0	0	0	73	46	0	0	0	0	0	0	0	0
5528	0	0	0	50	37	0	0	0	0	0	0	0	0
5529	0	0	0	73	42	0	0	0	0	0	0	0	0
5530	13	0	0	82	69	0	1	0	0	0	1	0	0
5531	0	0	0	87	73	0	0	0	0	0	0	0	0
5532	8	0	0	48	33	1	0	0	0	0	1	0	0
5533	0	0	0	86	60	1	0	0	0	0	0	0	0
5534	4	0	0	55	41	0	0	0	0	0	0	0	0
5535	0	0	0	64	37	0	0	0	1	0	0	0	0
5536				42	30	0	0	0	0	0	0	0	0
5537	0	0	0	39	35	0	0	0	0	0	0	0	0
5538	0	0	0	37	55	0	0	0	0	0	0	0	0
5539	0	0	0	73	37	0	0	0	0	0	0	0	0
5540				57	44	0	0	0	0	0	0	0	0
5541	0	0	0	51	35	0	0	0	0	0	0	0	0
5542	4	0	0	82	62	1	1	0	1	0	1	0	0
5543	0	0	0	60	39	0	0	0	0	0	0	0	0
5544	0	0	0	35	23	0	0	0	0	0	0	0	0
5545	0	0	0	48	19	0	0	0	0	0	0	1	0
5546	0	0	0	73	48	0	0	0	0	0	0	0	0
5547	0	0	0	51	24	0	0	0	0	0	0	0	0
5548	0	0	0	44	15	0	0	0	0	0	0	0	0
5549	0	0	0	50	30	0	0	0	0	0	0	0	0
5550	0	0	0	51	33	0	0	0	0	0	0	0	0
5551	8	0	0	84	71	0	0	0	0	0	0	0	0
5552	0	0	0	78	62	0	0	0	0	0	0	0	0
5553	0	0	0	71	51	0	0	0	0	0	0	0	0
5554	0	0	0	46	19	0	0	0	0	0	0	0	0
5555	0	0	0	57	26	0	0	0	0	0	0	0	0
5556	0	0	0	59	44	0	0	0	0	0	0	0	0
5557				24	15	0	0	0	0	0	0	1	0
5558	0	0	0	24	1	0	0	0	0	0	0	0	0
5559	0	0	0	62	42	0	0	0	0	0	0	0	0
5560	0	0	0	50	33	0	0	0	0	0	0	0	0
5561	0			33	12	0	0	0	0	0	0	0	0
5562	0	0	0	80	51	0	0	0	0	0	0	0	0
5563	2	4	2	26	12	0	0	0	0	0	0	0	0
5564	0	0	0	66	53	0	0	0	0	0	0	0	0
