Restaurant Name,Address,Cuisine,Most Recent Inspection Date,Violation Points,Picture Name
THE BRESLIN BAR & DINING ROOM,"16 WEST 29 STREET MANHATTAN, 10001",American,4/5/2011,28,
TROY GRILL,"539 9 AVENUE MANHATTAN, 10018",Turkish,3/28/2011,28,
VINTRYH,"57 STONE STREET MANHATTAN, 10004",Tapas,3/15/2011,28,
MASALA TIMES,"194 BLEECKER STREET MANHATTAN, 10012",Indian,3/9/2011,28,
SUSHI CHOSI,"77 IRVING PLACE MANHATTAN, 10003",Japanese,2/16/2011,28,
Crown Fried Chicken,"3633 BROADWAY MANHATTAN, 10031",Chicken,3/16/2011,28,
SIDDHI DELI,"444 MADISON AVEUE MANHATTAN, 10022",American,3/25/2011,28,
IWASKI 1103 INC,"1103 1 AVENUE MANHATTAN, 10065",Asian,3/28/2011,28,
BROOME STREET BAR,"363 WEST BROADWAY MANHATTAN, 10013",American,2/11/2011,29,
SAVOY,"70 PRINCE ST MANHATTAN, 10012",American,1/11/2011,29,
NEW WONTON GARDEN,"56 MOTT STREET MANHATTAN, 10013",Soups,12/6/2010,29,
CARIDAD RESTAURANT,"3533 BROADWAY MANHATTAN, 10031","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/7/2011,29,
LA CARIDAD RESTAURANT,"2092 AMSTERDAM AVE MANHATTAN, 10032",American,3/11/2011,29,
CITY 75,"75 ROCKERFELLER PLAZA MANHATTAN, 10019",American,4/4/2011,83,
S.P.Q.R.,"133 MULBERRY ST BSMT &1/FL MANHATTAN, 10013",Italian,1/4/2011,83,
COYI CAFE,"42 AVENUE B MANHATTAN, 10009",Asian,2/7/2011,88,
MOCA GARDEN,"2159 5 AVENUE MANHATTAN, 10037",Delicatessen,3/29/2011,89,
DIM SUM GO GO,"5 EAST BROADWAY MANHATTAN, 10038",Chinese,3/17/2011,91,
CITY COLLEGE CAFETERIA,"138TH ST CONVENT AVE MANHATTAN, 10031",American,3/15/2011,101,CITY COLLEGE CAFETERIA.JPG
GAZALA PLACE,"709 9 AVENUE MANHATTAN, 10019",Greek,4/4/2011,70,
RALPH'S ITALIAN RESTAURANT,"862 9 AVENUE MANHATTAN, 10019",Italian,1/19/2011,70,
LC WANG INC.,"223 EAST 14 STREET MANHATTAN, 10003",Asian,3/31/2011,70,
WATERSTONE GRILL,"79 PEARL STREET MANHATTAN, 10004",American,3/15/2011,71,
HIRAI MONG,"12 ST MARKS PLACE MANHATTAN, 10003",Korean,3/29/2011,71,
FIT MARKET,"295 7 AVENUE MANHATTAN, 10001",American,3/22/2011,72,
TINA'S RESTAURANT,"23 WEST 56 STREET MANHATTAN, 10019","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/30/2011,72,
CAFE JIA,"37 WEST 46 STREET MANHATTAN, 10036",Delicatessen,4/5/2011,72,
MET GRILL,"569 LEXINGTON AVENUE MANHATTAN, 10022",American,3/31/2011,72,
BIG WONG RESTAURANT,"67 MOTT STREET MANHATTAN, 10013",Chinese,3/24/2011,74,
TWO BOOTS GRAND CENTRAL,"231 GRAND CENTRAL STATION MANHATTAN, 10017",Italian,2/24/2011,75,
ARTIE'S DELICATESSEN,"2290 BROADWAY MANHATTAN, 10024",Delicatessen,4/1/2011,75,
63 BITES,"5 WEST 63 STREET MANHATTAN, 10023",American,3/31/2011,76,
HORUS EAST CAFE,"345 EAST 62 STREET MANHATTAN, 10065",Mediterranean,3/10/2011,76,
TRATTORIA CIRO,"813 8 AVENUE MANHATTAN, 10019",Italian,12/20/2010,77,
ITZOCAN BISTRO,"1575 LEXINGTON AVENUE MANHATTAN, 10029",French,3/31/2011,77,
LEMONGRASS GRILL,"84 WILLIAM ST MANHATTAN, 10038",Thai,3/28/2011,79,
SPRING ST. NATURAL RESTAURANT,"62 SPRING ST MANHATTAN, 10012",American,4/4/2011,80,
NEW CHINA SUN,"1270 ST NICHOLAS AVENUE MANHATTAN, 10033",Chinese/Japanese,3/3/2011,80,
THE BREAD FACTORY CAFE,"785 LEXINGTON AVE MANHATTAN, 10065",American,3/18/2011,81,
BAKER FIELD STAND 3,"533 WEST 218 STREET MANHATTAN, 10034",American,10/31/2009,65,
"WHALER BAR, CAFE BUON GIORNO","22 EAST 38 STREET MANHATTAN, 10016",American,2/4/2011,65,
TRATTORIA TUSCANO,"64 CARMINE ST MANHATTAN, 10014",Italian,3/11/2011,65,
PORTOBELLO,"83 MURRAY ST MANHATTAN, 10007",Pizza,3/23/2011,65,
LA SIRENE,"558 BROOME STREET MANHATTAN, 10013",American,3/3/2011,65,
YOGEE RESTAURANT,"85 CHRYSTIE ST MANHATTAN, 10002",Chinese,3/1/2011,65,
HOMEFRONT DELI,"41 EAST 41 STREET MANHATTAN, 10017",American,4/5/2011,65,
HANGLUNG LUCKY RESTAURANT,"1614 ST NICHOLAS AVENUE MANHATTAN, 10033",Chinese,3/7/2011,65,
"NORMA'S, HAMBURGER JOINT","118 WEST 57 STREET MANHATTAN, 10019",American,3/29/2011,66,
FRANKLIN HOTEL,"164 EAST 87 STREET MANHATTAN, 10128",American,3/31/2011,66,
VILLA PIZZA,"263 WEST 42 STREET MANHATTAN, 10036",Pizza,3/28/2011,66,
LA FONDA DEL SOL,"200 PARK AVENUE MANHATTAN, 10017","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/5/2011,66,
WENDY''S OLD FASHIONED HAMBURGERS,"650 BROADWAY MANHATTAN, 10012",Hamburgers,2/23/2011,67,
PEPE GIALLO,"253 10 AVENUE MANHATTAN, 10001",Italian,11/17/2010,68,
BLUE MOON MEXICAN CAFE,"1444 1 AVENUE MANHATTAN, 10021",Mexican,12/7/2009,69,
MARK STREET BAGEL,"170 WEST 23 STREET MANHATTAN, 10011",Bagels/Pretzels,3/30/2011,69,
FRESH FOOD KITCHEN/TAWA,"401 EAST 68 STREET MANHATTAN, 10021",American,3/25/2011,69,
OOKI SUSHI,"1575 3 AVENUE MANHATTAN, 10128",Japanese,2/22/2011,69,
DANG LAI PALACE,"180 3 AVENUE MANHATTAN, 10003",Vegetarian,3/29/2011,69,
SALMAGUNDI CLUB,"47 5 AVENUE MANHATTAN, 10003",American,4/4/2011,70,
PELEA MEXICANA,"6 YORK STREET MANHATTAN, 10013",Spanish,3/9/2011,60,
BRICK CURRY HOUSE,"306-308 EAST 6 STREET MANHATTAN, 10003",Indian,4/1/2011,61,
SPICE CHINESE RESTAURANT,"610 AMSTERDAM AVE MANHATTAN, 10024",Chinese,3/14/2011,61,
KING'S SEAFOOD RESTAURANT,"39-41 EAST BROADWAY MANHATTAN, 10002",Chinese,3/5/2011,61,
CHICKY'S ON 86,"355 E 86TH ST MANHATTAN, 10028",Greek,3/31/2011,61,
CIEN FUEGOS,"95 AVENUE A MANHATTAN, 10009",American,7/6/2010,61,
MOONSTRUCK EAST,"449 THIRD AVENUE MANHATTAN, 10016",American,4/4/2011,62,
CALCUTTA CAFE,"2735 BROADWAY MANHATTAN, 10025",Indian,1/6/2011,62,
UNIVERSAL BAKERY,"701 WEST 180 STREET MANHATTAN, 10033",Bakery,1/25/2011,62,
RIVER SIDE DELI,"607 10 AVENUE MANHATTAN, 10036",Seafood,4/4/2011,62,
MEKEREM ETIOPIAN RESTAURANT,"668 10 AVENUE MANHATTAN, 10036",Ethiopian,1/19/2011,62,
FRIEND OF A FARMER,"77 IRVING PL MANHATTAN, 10003",American,2/7/2011,63,
ELPUERTO,"511 WEST 125 STREET MANHATTAN, 10027",American,11/29/2010,63,
"SHANGHAI CAFE DELUXE, INC","100 MOTT STREET MANHATTAN, 10013",Chinese,4/4/2011,63,
