Restaurant Name,Address,Cuisine,Most Recent Inspection Date,Violation Points,Picture Name
TOWN HALL THEATRE,"123 WEST 43 STREET MANHATTAN, 10036",American,2/24/2011,28,TOWN HALL THEATRE.GIF
ONEILL'S,"729 3RD AVE MANHATTAN, 10017",Irish,3/28/2011,28,
DELA PANA BAKERY,"264 WEST 35 STREET MANHATTAN, 10001",Bakery,4/1/2011,28,
GRACE'S TRATTORIA CAFE & GRILL,"201 EAST 71 STREET MANHATTAN, 10021",Italian,3/24/2011,28,
MARUZZELLA,"1483 1ST AVE MANHATTAN, 10075",Italian,12/20/2010,28,
MARCO POLO KITCHEN,"15 EAST 15 STREET MANHATTAN, 10003",American,12/20/2010,28,
FISH BAR,"237 EAST 5 STREET MANHATTAN, 10003",American,12/20/2010,28,
MARIA'S CAFE,"32 AVENUE C MANHATTAN, 10009",Mexican,2/15/2011,28,
THE EAGLE,"554 WEST 28 STREET MANHATTAN, 10001",American,12/9/2010,28,
COSI DOWNTOWN,"38 EAST 45 STREET MANHATTAN, 10017",Sandwiches,2/15/2011,28,
ORANGE VALVE BAR & GRILL,"355 BOWERY MANHATTAN, 10003",Chinese,3/1/2011,28,
TAQUERIA LOS JARRITOS,"1555 ST NICHOLAS AVENUE MANHATTAN, 10040",Mexican,12/6/2010,28,
NANA'S TREATS,"46 WEST 17 STREET MANHATTAN, 10011",American,2/28/2011,28,
LOCAL 138,"138 LUDLOW STREET MANHATTAN, 10002",American,1/12/2011,28,
EL COCTERO,"228 WEST 18 STREET MANHATTAN, 10011","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/4/2011,28,
THE SKINNY,"174 ORCHARD ST FL 1ST MANHATTAN, 10002",American,3/18/2011,28,
RED 58,"158 WEST 58 STREET MANHATTAN, 10019",American,1/26/2011,28,
TOASTIES,"25 JOHN STREET MANHATTAN, 10038",American,3/11/2011,28,
MARTIER CAFFE,"1012 2 AVENUE MANHATTAN, 10022",American,1/11/2011,28,
EVOLVE,"221 EAST 58 STREET MANHATTAN, 10022",American,1/7/2011,28,
UNCLE MIKES,"57 MURRAY STREET MANHATTAN, 10007",American,1/28/2011,28,
EL RINCON DE JACKE,"1047 ST NICHOLAS AVENUE MANHATTAN, 10032","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/30/2011,28,
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,"80 NASSAU STREET MANHATTAN, 10038",Caribbean,3/18/2011,28,
EL PASO TAQUERIA,"64 EAST 97 STREET MANHATTAN, 10029","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/10/2011,28,
GOTHAM PIZZA,"144 9 AVENUE MANHATTAN, 10011",Pizza,4/4/2011,28,
CURRY EXPRESS,"130 EAST 29 STREET MANHATTAN, 10016",Indian,3/2/2011,28,
BOCA CHICA,"1354 AMSTERDAM AVE MANHATTAN, 10027","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/1/2011,28,
