State	EventYear	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
KS	2001	0		0		0	0	0	0		0	0	0
KS	2002	0		0	0	1	0	1	1	0	0	0	
KS	2003		0	0	2	0	5		0	2		0	1
KS	2004		0	0	0	0	2	1	3	1	0		
KS	2005	0			1	0	1	0			2	0	3
KS	2006	1	0	0	1		1	0	0		2	0	0
KS	2007	1	0	0	1	0	1	0	1	0	0	1	1
KS	2008	0	0	0	0	1	1	1	0	0	0	2	
KS	2009	4	1	0	1	1	0	1	0	0	1		0
KS	2010	0		0	0	3	0	1	0	0	1		0
KY	1982	0	1	2	0	2	3	2	1	1	1	0	3
KY	1983	0	0	1	0	1	13	3	0	1	2		0
KY	1984		0	1		12	1	0	0	0	2	0	0
KY	1985	1	0	4	0	0		2	1	3	5	0	0
KY	1986	0	0			0	0	0	0	1	0	0	0
KY	1987		0	0	0	2	0	0	1	0	0	1	2
KY	1988	1		0	0	0	0		1	1	0	1	1
KY	1989	2		0	0	0				0	1	0	
KY	1990	2	0		0	0	2	0	0	0	0	0	
KY	1991		0		1	0		0		0	0		0
KY	1992	0		0	1	3	0	2	3	0		0	2
KY	1993			0	0	2	1	1		2	1		0
KY	1994	0		3	6	0	0		0	0	0	1	
KY	1995		0	0	0	0	0		0				1
KY	1996	0	1			2	1			1	4	0	1
KY	1997		0		0	0	0	2	0	2	0		0
KY	1998			3	0			0	1	0	0	1	
KY	1999		1		0	0	0	2		1	0		
KY	2000	0	0		0	1	2		0	1	0	2	1
KY	2001	0		0	4	2	0		0	0		0	1
KY	2002	1		2	1	0	0	2	1	1	0	0	
KY	2003		1	0	0		0	2		0	0	3	0
KY	2004	0	0	0	1	0	0		1	0		0	2
KY	2005	0		1	0		1			2	0	0	
KY	2006	2	0			0	0	0	1	0		0	
KY	2007				1		0	0		0	0	0	0
KY	2008		0	0	0	0	1	1	0	2	0		0
KY	2009	0	0	0	0		0	0	1		0	2	0
KY	2010	0	0	0	1	0	0	0	2	0	5		1
KY	2011			0									
LA	1982	1	0	0	0	0	0	0	2	1	2	1	2
LA	1983	1	2	0	0	1	0	3	2	0	4	3	
LA	1984	6	3	2	4	3	5	0	1	1	0	3	2
LA	1985	1	2	1	1	3	3	2	2	1	0	0	
LA	1986	0	0	2	0	1	3	2	1	2	1	1	0
LA	1987		0	0	0	9	0	2	1	0	1	0	1
LA	1988	0	0		0	1	7	1	0	0		1	1
LA	1989	3	1	0		1	1	0	2	0	1	0	0
LA	1990	2	1	2	0	0	1	0	2	0	0	0	2
LA	1991	0	0	1		0	1	0	1	0		0	0
LA	1992		0	0	1	1	0	1	3	0	0	0	0
LA	1993	0	0	0	0	1	4	1	0	0		0	4
LA	1994	1	1	4		0	1	2	0	0	0	2	
LA	1995	0	1	0	1	0	0	0	0	0	0		1
LA	1996	0	1	1	1	2	2	0	0	1	0	0	
LA	1997	1	0	0		1	2	0	0	2	2	1	0
LA	1998	0	2	1	1	0	1	0	0		1	3	0
LA	1999		0	0	1	1	1	2	1	1	1	0	1
LA	2000	0		0	0	2	2	1	2	1		0	0
LA	2001		0	0	0	0	2	0	1	0	0	0	0
LA	2002	0	0	0	0	0	3	1	1	1	0	0	
LA	2003	4	4	5	0	0	1		1	0		0	0
LA	2004	0	0	0	0	0	1	4	4	0	0		0
LA	2005	0	0	2	0	0	0	1	0	6	1	1	1
LA	2006		0	2	0	2		0			1	0	0
LA	2007					0	1	0		0	0	0	2
LA	2008			0	0	1	1	1	1	0	1		
LA	2009	0	0	0	2	2		0	0	1	2		0
LA	2010			0	0		0	0	2	0		0	0
LA	2011	0	1	0	0								
MA	1982	26	0	2		1	1	3	0	0	0	0	0
MA	1983		1	0	0	0	1	0	1	2	1	3	0
MA	1984	4	0	0	0	0	0	6	4	0	0	0	3
MA	1985	0		2	5	0	4	3	1	4	5	1	0
MA	1986	1		2	4	1	2	1	1	1	8	1	2
MA	1987	8	0	2	9	0	1	3	0	2	0	2	0
MA	1988	1	4	2	1		0	0	4	0	2	2	0
MA	1989	0	1	0	0		2	1	6	0	2	1	1
MA	1990	2	2	0	1	1	1	3	2	0	2	0	
MA	1991	0		2	1	0	0	0	2	2	1	1	0
MA	1992	3	1	0	1	1	2	0	1	0	2		
MA	1993	0			0	0	5	2	1	1	3	4	0
MA	1994	0	1	0	0	0	2	1	2	0	1	0	0
MA	1995		0		0	5	0	2	1	0	1	2	
MA	1996	0		1	0	2	0	3	0	1	0	0	0
MA	1997	0					1	0	0	0	0	2	1
MA	1998		0	1	0	0	0	1	0	1	0	0	
MA	1999	0	0		0	0		0	1	0	0	0	0
MA	2000		3	2	0	0	0	3	0	0	0	0	0
MA	2001	0	0	0	2	9	0	3	0		0	0	0
MA	2002	1				1	0	0	0	2	0	0	2
MA	2003	0	0	0	1	0	0	1	0	0	0	0	
MA	2004	2	0	0	2	1	0	0	3	1	0	0	
MA	2005	0	0	3	0		0	0		2	0	1	0
MA	2006	0	0		2	2	0	0	1	0			0
MA	2007		0	0		0	0	0	0	0		0	0
MA	2008	0		0		0	0		0	0		0	
MA	2009			0	0	0	2	1	0	0			
MA	2010	0		0	0	0	0	0	0	0		0	0
MA	2011	1		2									
MD	1982	0	3	1	1	3	1	1	0	0	0	1	0
MD	1983	2	0	0	1	1	4	3	1	0	0	2	0
MD	1984	0	0	0	5	0	0	0	3	1	0	0	0
MD	1985	2	1	4	0	3	6	0		0	0	1	0
MD	1986			0	1	1	3	0	0	1	0	3	
MD	1987	0	0	0	0	2	0	1	2	0	1		0
MD	1988		0	0	4	0	1	0	0	0	5	0	
MD	1989		0	0	2	0	1	12	0	3	2	0	
MD	1990	8	0		1	0	1	2	2	0	0	0	0
MD	1991			1	0		11	0	0	1	0		
MD	1992	0	1	0	0	0	1	1	2	0	0		0
MD	1993	2		0	0	0	0	0	0	0	1	0	
MD	1994	0	1	1	1	0	0	1	0	3			1
MD	1995			0	0	0	2	1	1	0	0	0	0
MD	1996	0			0	8	2	0	3	0	1	2	0
MD	1997	0	1	2	0	0	1	1	0	1	4	0	0
MD	1998				0	2	1	2	0	0	0	4	
MD	1999			0	0	1	3		0	0	2	0	3
MD	2000		0	0	0	0		1	0		0	0	2
MD	2001				0	0	0	1	0	0	0		
MD	2002			0		0	0	0	1	3	0		0
MD	2003			1		0	5	0	1		0	0	
MD	2004	0	0	2		0	0	0					
MD	2005	0		0	0			1	0	0			0
MD	2006	0	0		0	0	0	0	0	0	0	0	0
MD	2007			0	1	0	1	0	2				2
MD	2008	1	0	0			0	1	0	0	0	0	
MD	2009		0	1	0	11	0	0	1				
MD	2010	0	0	2			0	0	0	1	0	0	
MD	2011		0										
ME	1982		0	0		2	3	2	2	0	0		
ME	1983	0		0		1		3	3	0		0	0
ME	1984	0		0	0	5	2	7	3	0	0		0
ME	1985	0	0		1	0	0	0	0	0	0		
ME	1986			1	0	0	0	2	0	0	0	0	0
ME	1987				3			0	2	1	0		0
ME	1988		0	0		0	0	0	1	0			1
ME	1989	0	1		0			1	2	0	6		
ME	1990			1		0	0	0	0	1	0	0	
ME	1991		0	1	0	1	0	5	0	1	3	0	
ME	1992	0	1	0	0	2	1	1	3	1			
ME	1993		0	2	0		0	1	1	4		0	0
ME	1994		0	0	0	0	0	2	1	2	1	0	
ME	1995			0	0		1		1	1	0	0	0
ME	1996	0	0	1	0		0	1	0	0			1
ME	1997	2	0	0			0	0					
ME	1998	0	0	0	0		0	2	0				
ME	1999		0				0	0	0	1	0	0	0
ME	2000	0	0			0	1	0	2	1	0		0
ME	2001	0				3	0	0	0	0	2	0	1
ME	2002	1			0		0	0	1	0	2	0	
ME	2003	0	0			0	0		0	3		0	
ME	2004	0		1		0		0	0	0	1		
ME	2005				0	2			2	0			
ME	2006	0	1	0	2	0	0			2			0
ME	2007				0	1	0	3	3		0		
ME	2008	0	0		1	5	0		0	0	0		
ME	2009				0	0	1	2	4		0	0	
ME	2010	0				0		0	0	1	1		
ME	2011		1	0	0								
MI	1982	0	0	0	4	1	0	3	1	2	2	0	1
MI	1983	0	2	1	0	2	4	1	7	0	2	0	0
MI	1984	0	2	1	0	1	14	2	0	0	1	0	0
MI	1985	0	0	0	43	2	7	0	0	2	5	2	1
MI	1986	0	0	3	2	0	0	1	9	1	1	1	1
MI	1987	0	16	8	1	1	3	6	5	0	0	0	0
MI	1988	0	1	25	4	0	4	0	5	0	0	2	0
MI	1989	1		3	1	1	6	2	6	2	4	1	0
MI	1990	0	0	0	6	0	1	3	1	3	4	0	53
MI	1991	0	0	0	0	2	2	2	1	0	1	5	0
MI	1992	0	0	0	0	0	0	2	3	0	0		0
MI	1993	0	0	2	0	4	0	6	3	4	3	1	0
MI	1994	0	0	3		1	4	10	4	2	0	0	0
MI	1995	0	0	1	1	0	5	0	5	5	2	0	1
MI	1996	0	0	0	0	0	7	1	0	1	2	4	1
MI	1997	0	0	1	0	1	3	0	2	3	4		2
MI	1998	0	0	0	0	1	5	2	0	1	0	0	0
MI	1999	0	0	1	1	3	1	0	1	0	0	0	1
MI	2000		1	0	4	3	3	2	0	0	1	1	0
MI	2001	4	2	3	0	3	1	3	3	3	0	0	0
MI	2002	1	1	0	0	0	0	7	0	0	0	1	0
MI	2003	0	0	2	0	2	0	11	3	0	0	0	2
MI	2004	0	1		1	0	1	3	0	1	0	1	0
MI	2005	0	0	0	1	1	7	1	0	1	1	0	
MI	2006	0	0	1	0	0	0	7	0	0	0	0	0
MI	2007	4	2	0	2	1	2	2	0	0	1	0	0
MI	2008	0		0	1	0	1	1	0	0	1	1	0
MI	2009	0			0	1	1	1	1	1	1	1	0
MI	2010	0		0	0		0	1	2	0	2		0
MI	2011	0	0	0	0								
MN	1981								0				
MN	1982	0	2	2	0	1	3	1	0	4	0	1	
MN	1983	0	0	1	0	0	2	5	0	1		4	2
MN	1984	2	2		0	2	7	2	0	0	1	0	
MN	1985	0	0	0	0	1	0	2	1	3	0	0	0
MN	1986	3	0	5	3	0	3	1	0	0	0	0	0
MN	1987	0	0	0	2	0	1	0	0	2	0	0	0
MN	1988	0	0	0	0	1	4	6	3	1	1	0	0
MN	1989	1	0	0	0	3	1	0	2	2	1	2	
MN	1990	0	0	0	3	0	2	5	2	0	1	0	0
MN	1991	0	1	0	1	5	0	1	0	6	1	3	4
MN	1992	0	0	0			0	0	2	0		1	0
MN	1993	0	1		0	1	0	2	1		3		1
MN	1994	0	0	0	0	0	0	0	0	2	1	0	0
MN	1995	0	0	0	0	1	1	3	2	2			0
MN	1996	0	0	0	1	1	0	4	0	0			0
MN	1997	2	0	0	3	0	0	2	0	0	0	0	0
MN	1998	0	4			4	0	1	1	0	1	6	
MN	1999	0	0	0	1	0	0	1	0	3	0	0	2
MN	2000		1		3	1	2	0	1	0	1	0	0
MN	2001		0	1	1	2	0	6	0	4	0	5	
MN	2002	0	0	0	0	1	3	1	1	2	1	1	0
MN	2003	1	1	0	0	1	2	3	0	1	2	0	0
MN	2004	0	0		4	1	1	0	1	1	0	0	0
MN	2005	0	0	1	0	14	0	0	1	0	1	0	1
MN	2006	0	0	0	0		1	3	0		0	0	0
MN	2007				0		1	1	2	2	0	1	0
MN	2008	0	0		0		1	6	1	0	0	0	0
MN	2009	0		0		0	0	1	1	1	1	0	
MN	2010		0		2	0	0	0	0	1	2	0	2
MN	2011	0	0	0	0								
MO	1982	0	0	0	0	2	1	0	4	0	0	1	2
MO	1983	0	2	0	0	8	3	1	1	0	0	0	2
MO	1984	1	1	1	0	1	2	4	2	4	2	2	1
MO	1985	0	0	4	1	0	4	3	2	3	2	0	0
MO	1986	1	0	1	0	1	0		0	2	0	0	2
MO	1987	0	0	4	1	0	0	1	2	4	0	0	5
MO	1988	0	0	0	0	4	0	1	3	1	2	0	2
MO	1989	0	0	0	0	2	1	3	1	0	1	3	0
MO	1990	4	1	0	0	0	1	4	4	2	0		0
MO	1991	0	1	0	0	7	0		1	0	1	0	0
MO	1992		2	0	4	0	1	3	2	1	0	4	0
MO	1993	0	0	1	1	0	5	5	1	2	0	2	0
MO	1994	1	1	2	0	0	1	1	2	1	1	1	2
MO	1995	0	1	0	3	0	3	4	1	0	0		1
MO	1996	1		0	2	0	0	2	3	0	0	1	
MO	1997	1	0	0	0	0	2	0	3		0	0	1
MO	1998		0	0	0	2	4	3	0	0	1	0	
MO	1999	1	4	0	0	0	1	0	0	3	0	0	0
MO	2000		0	0	2	0	1	5	2	1	0	0	0
MO	2001	0	0		0	0	3	0	1		0	2	2
MO	2002			0	14		2	1	0	0		3	2
MO	2003	0		1	0	2	1	0	1	3	2	0	0
MO	2004	0	0	1	0	3	0	0	1	6	0	0	0
MO	2005	0	2		1	0	2	0	1		0	1	1
MO	2006	0	1	0	0	0	0	0	1	0	1	0	1
MO	2007		0	1	1	0	1	4	0	4	0	0	
MO	2008				1	2	0	3	0	0	0	0	0
MO	2009	0	0	2	0	0	0	1		0	0	0	1
MO	2010		0	0	1	0	0	0	1	4	0		0
MO	2011	0	1	0	0								
MS	1982	3	0	1	0	0	0	0	2	1	1		1
MS	1983	0	0	0		0	1	2	0	0	0	0	0
MS	1984		0	1	1	0	1	2	4	0	6	1	
MS	1985	0	2		0		2		0	0	1	0	0
MS	1986	0	0	0		2	0	1	2	0	0	0	0
MS	1987	0	1	2	0	0	1	2	0		1	0	0
MS	1988		2		0	0	1	0	4	3	1	4	
MS	1989	0	0	1	0	0	3	1	2	3	0		0
MS	1990	0		0	0	1	1	0	4	0	0	0	
MS	1991			3		1	2	4	0	1	2		0
MS	1992	0	1	0	1				0	1	0	1	
MS	1993	2	4	0	1	3		3	1	1	0	0	0
MS	1994	2	0	0			1	1	2	0	1	0	
MS	1995	1	0	0	1	0	0	2	1	2	0	0	0
MS	1996	4	1		0		0	0	2	1	0	0	0
MS	1997	0	0	0	0	1	0	4	0	2	2	0	
MS	1998		2	0		0	2	0	0	1	2	0	2
MS	1999	1	0	0	2	0	0	0	1	3	1	0	0
MS	2000		0	1	1	0	0	0	0	0	0	0	
MS	2001	0	0	0		0	1	0	1	0	0	0	
MS	2002	1		0	0	4	0	0	0	0		0	
MS	2003	0	1	0	0	0	6	0		0	0	0	
MS	2004			0	0	0	0			1	1	0	0
MS	2005	0	0	0	0	0	3	0	0	0	0		0
MS	2006			0	0	0		0	0	1	1		0
MS	2007	0	0	0	0		0	2	1		2		0
MS	2008	0	0	1			0	0	1			0	
MS	2009	0		0	2	0	0	1		0	0	0	
MS	2010	0					0	0		0	0		0
MS	2011			3	0								
MT	1982	1	1	0	0	1	4	1	1	0	1	0	0
MT	1983	0	0		2	2	5	0	0	0	0	0	0
MT	1984	1	2	0	0	0	0	0	1	2	2		2
MT	1985	1	0	0	0	2	0	0	0	1	2		1
MT	1986	0	0	1		1	0	0	1	1	0	1	1
MT	1987	1		0	0	0	0	3	0	0	2	1	0
MT	1988		1	0	2	0	1	1	2	0	1	1	0
MT	1989	0	0	0	0	2	0	1	0	0	0	0	0
MT	1990		3	0	0	0	4	3	0	0	0		0
MT	1991	0	0	0	0		1	1	1	0	0	0	4
MT	1992	0	0	0	0	1	3	0	0	1		0	0
MT	1993	0	0	0	3	0	2	0	0	0	0		
MT	1994	0	0	0	3	0	0	0	0	2	0	0	
MT	1995	0	0	0	0	0	0	0	0	0	0	0	
MT	1996	0	0		0	0	0	0	0	2	0	0	0
MT	1997	0	1	0	0	3	1	5	0	0	1	0	1
MT	1998	0	1	0	2	0	0	4	0	1	2	0	
MT	1999		0		0	0	1	1	0	0	2	0	0
MT	2000	0	0	0	0	0	0	0	0	1		0	
MT	2001		0	0		0	0	2	0	0	0	0	0
MT	2002	1		0	0	1	1	3	0	0	1	0	
MT	2003		0		0	0	2	2	0	0	0		1
MT	2004	0	0	0	0	1	3	0	0	0	4		0
MT	2005	0	0	0	2	0	2	1	2	0		0	0
MT	2006		0	0	1	0	0	0	1	2	0	0	0
MT	2007		0	0	2	0	0	2	0	0	0		0
MT	2008		0	1	0	1	3	0	0	0			0
MT	2009	0	0	0	0	0	0	0	0	0	1		
MT	2010	0		0		0	0	0	2	0			
MT	2011	0		0									
NC	1982	0	1	0	0	0	1	2	2	0	1	0	0
NC	1983	0	1	1	5	1	8	0	4	3	1	0	0
NC	1984	3	0	6	0	2		0	2	0	1	2	8
NC	1985	0	0	1	2	0	4	1	4	1	0	0	2
NC	1986	0	0	0	3	1	2	6	1	5	31	0	2
NC	1987	0	0	0	0	2	1	1	2	2	1	0	0
NC	1988	0	2	4	0	5	1	1	0	0	3	3	0
NC	1989	1	0	0	1	4	0	0	1	4	3	1	1
NC	1990	0	0	0	0	1	3	2	0	0	2	2	0
NC	1991	0	3	0	3	1	0	0	1	0	2	1	3
NC	1992		0	0	3	1	2	2	2	1	1		0
NC	1993	4	1	0	5	1	1	2	0	0	1	2	0
NC	1994	0	3	2	2	5	0	8	2	0	0	1	1
NC	1995	1	0	1	0	0	1	1	3	0	0	0	0
NC	1996		3	0	1	0	1	3	1	0	6	0	0
NC	1997	1	0	0	0	1	0	4	1	2	0	0	0
NC	1998	0	2	0	0	2	0	0	2	4	0	1	0
NC	1999	0	4	3	1	1	0	2	0		0	0	2
NC	2000	0	1	3	0	3	0	4	15	0	2	0	0
NC	2001	2		0	1	0	3	1	2	1	0	1	1
NC	2002	0	1	11	3	0	2	0	1	1	1	0	1
NC	2003	1	2	2		0	0	6	0	2	4	1	5
NC	2004	1			2	2	1	7	0	0	0	0	
NC	2005	0	2	2	0	0	4	0	3	0	2	2	0
NC	2006		0	1	1	2	1	1	1	0	1	0	2
NC	2007	0		0	1	2	1	0	2	1	0	0	0
NC	2008	0	1	0	0	0	1	0	1	1	0	5	0
NC	2009	1	1	0	4	0	0	4	0	0	0	0	0
NC	2010		1	0	1		0	1	0	1	7		0
NC	2011		0	0									
ND	1982		0	0	1	0	0	2	1	0		1	0
ND	1983	1	0		0	0	1	0	0	0	1	0	2
ND	1984	0	0	0	2	0	0	0	0	0	1	0	0
ND	1985	2		0	0		1	0	0	1	0	2	
ND	1986	0	0	1	0	0	1	0	0	0	2		
ND	1987		1	1	3	2	2	1	1	0	0	0	0
ND	1988		0				0	0					
ND	1989	0	0	0	0			3	0		0		0
ND	1990				2	0	1	0	1			0	
ND	1991	0			0	0	0	0	0	0			1
ND	1992			0	0	0	1	0	0	1	0	1	0
ND	1993		0	0	0	1	0	0	0				
ND	1994	0	0		1	0	0	1	0	0	2	0	
ND	1995	0		0	0	0	0	1	1	1			0
ND	1996	0				0	0	5	0	0	0	0	0
ND	1997			0	1	0	1	22		1	0		0
ND	1998			0	0	0	0	2	1	0	0	0	
ND	1999					0	0	1				0	0
ND	2000	0			0	0	0	0	1			0	
ND	2001					0	0	1	0	0			0
ND	2002		0				0	0	0	0		1	
ND	2003					1	0	0	0	0		0	
ND	2004						0	0	0	0	0		0
ND	2005		0		0	0	0	0	0				
ND	2006				0		1		0	0	0		
ND	2007		0				0	0	0	1	2		
ND	2008				0	1	1	1	0				0
ND	2009			0		0		1		0	0		
ND	2010				0	0	0	0			0	2	
NE	1982		0	0	1	5	2	4	37	2		1	1
NE	1983	0	0	0	0	0	1	1	4			2	0
NE	1984	0	0	0	5	1	0	1	0	0	0	0	0
NE	1985	0		0	0	0	2	1	0	2	0	0	2
NE	1986	0	0		0	0	0	0	1	0	0	0	0
NE	1987		0	0	0		0	0		0	0		0
NE	1988	2	0		0	0		0	0	1	2	0	1
NE	1989	1		0	0	2		0		1	0		0
NE	1990			0	0		0	2	0	0		0	
NE	1991	0	0	0	0	0	0		0	0			0
NE	1992	0		0	0	0	0	0	5	0	1	0	
NE	1993		0	0	0	1		0	2	0	0		0
NE	1994	2		0	1	0	1	1	1	0			0
NE	1995	0	0	0	0	0	0	0	0	0			
NE	1996	0	0		0		0		0		1		2
NE	1997						0	0	0		0	2	1
NE	1998	0	0		0	4	3	1	2		0	0	1
NE	1999	1	1		0	0	1	0	3	0	1	0	0
NE	2000							1	0	1	0		
NE	2001	0	0	0	1		2	0	0		0	1	0
NE	2002	0				0	0	0	0	1			
NE	2003	1				0	0	0	1	1	1		
NE	2004			0	0		0	0		0	0	0	
NE	2005	2			0	0	1		0	0	0	0	0
NE	2006	0		0		6	2	1	0	3			
NE	2007		0		0		0	1	0	0	0	1	
NE	2008	0		0	0	0	0	0		0		0	
NE	2009		0	0		0	0	1	0	0	1		
NE	2010	0				0	0	1	0	0		0	0
NH	1982	0		0	0	0		0	0	0	0	0	
NH	1983				0		3	0	0	2	0		4
NH	1984	0	0		0	0	1	0	0	0	0	2	
NH	1985	0	1		0	0	0	0		0	2		2
NH	1986	0	0	3		2	1	1	1	2	0		
NH	1987	0	3		0	0	0	0	0	0	0		0
NH	1988		0	0	0	2	0	2	2	0	0		0
NH	1989				0			0	2	2			
NH	1990		0						0	2	0	0	0
NH	1991	0	0	1	1	1		0	1	0	2		0
NH	1992						1	1	1		1		3
NH	1993	0			0	0	0	0	1		0		0
NH	1994			1	0			1	0		0		0
NH	1995		0	0					0		0		0
NH	1996	0				2		0	1	0			0
NH	1997	0			0	0	0	2	0				
NH	1998					0	0	4			1		0
NH	1999	0	1				0		1		1		
NH	2000		2	0	0		2	0	1	0		0	0
NH	2001	0	1	0	0		0	1	0		3		
NH	2002								0	0			
NH	2003	0					0				0		0
NH	2004		0				0	0	1	0	2	0	
NH	2005	0			0		1	0	2		0	0	1
NH	2006				0	0			0	0		0	
NH	2007		0		0	2				0	1	0	0
NH	2008								0	0	0		0
NH	2009		0			0	0			1			
NH	2010		0							0			0
NJ	1982	0	0	0	2	1	1	0	4	2		0	0
NJ	1983	0	0	1	1	3	2	2	0	1		0	7
NJ	1984	0	0	0	1	5	1	1	2	0		2	1
NJ	1985	0	0	0	2	2	8	0	4	2	0	0	1
NJ	1986	0	0	0	1	2	2	4	2	0	1	1	2
NJ	1987	10	1	0	4	3	1	2	2	0	2	0	0
NJ	1988	2	0	0	0	0	1	0	6	0	0	2	3
NJ	1989	0	0	2	1		1	1	1	2	2	1	0
NJ	1990		0	0	0	1	3	0	1	0	1	0	0
NJ	1991	2		2		0	1	11	0	0	72	4	
NJ	1992	0	0	0	0	0	1	0	2	0	1	2	0
NJ	1993	0	0	0	0	2	0	0	6		1	1	0
NJ	1994	0	0	1	0	0	0	1	3	0		0	0
NJ	1995		2	1	0	1	0	1	0	1		0	0
NJ	1996	0	1	1	3	0	0	2	0	0	0		2
NJ	1997	1	0	1	1	0	0	5	0		2	0	0
NJ	1998			0	0	1		0	6	0	5	0	2
NJ	1999	0	0	0	0	5	0	6	1	2	7	25	3
NJ	2000		0	2	0	3	3	0	1	1	0	1	0
NJ	2001	0		0	0	0	7	2	0	0	2		0
NJ	2002		2	0	1	1	0	2	0	0	1	0	0
NJ	2003	0	0	1	1	1	3	1		1	0	0	0
NJ	2004		0		0		0	2	6	1	0		2
NJ	2005	0	9	2	1	1	0	3	0	1	0	0	0
NJ	2006	0		0		1		1	1	0	0	0	
NJ	2007	0		1	2		0	3	2	1	0	0	0
NJ	2008	0	0	0	0	0	2	1	0	0		0	0
NJ	2009	0	1	0	0	1	0	0	1	0		0	
NJ	2010	3	0	0	0		1	0	1	0	0	0	0
NJ	2011		0	0									
NM	1982	2	0	1	5	2	0	0	3	2	3	0	1
NM	1983	0	0	2	2	1		3	2	1	0	1	0
NM	1984	3	3	0	0	0	2	4	0	0	2	0	0
NM	1985	5	0	0	3	6	3	2	0	0	4	2	1
NM	1986	2	0	5	0	0	1	3	4	0	0		0
NM	1987	1	1	0	1	0	0	6	2	0	2	2	0
NM	1988	2	2	3		0	0	1	0	4	3	2	0
NM	1989	0	0	0	1	3	1	1	6	1	2	0	0
NM	1990		0	0		0	3	0	2	0	5	0	0
NM	1991	0	0	0	2	0	2	1	0	0	0	0	3
NM	1992	1		0	0		0	1	2	2	9	0	
NM	1993	1	2	0	0	0	0	0	1	2	4	0	
NM	1994	0	0	2	0	0	0	1	0		2	3	2
NM	1995	0	2	0	1	0	1	1	1	0	0	3	0
NM	1996	2	0	0	2	0	5	1	0	1	0	0	1
NM	1997	0	1		4	2	0	3	1	1	1	0	2
NM	1998	1	0	1	4	1	1	0	1	3	9	2	0
NM	1999	0		2	4	1	0	2	0	1	0	0	1
NM	2000	0	0	3	0	0	4	1	4	2	0	1	0
NM	2001		0	0	2	2	5	0	0	1	12	0	0
NM	2002	0	0	1	0	2	0	0	0	0	0	0	0
NM	2003	4		0	1	1	1	0	0	0	9	1	0
NM	2004	2		0	0	0	1	3	0	1	3	0	0
NM	2005	0		0	0		0	0	1	0	0	0	0
NM	2006	1	0	2	0	1	0	3	0		2	1	
NM	2007	0	0	3	0	0	2	1	0	1	4	0	0
NM	2008	0	0	1	1	4	0	0	2	0	1	0	0
NM	2009	0	0	0	0	2	0	0	0		1		0
NM	2010	1	0	0		0	0	1	0	1	3	3	
NM	2011	0		0	0								
NV	1982	0	1	4	2	2	1	0	0	2	1	0	0
NV	1983	0	0	0		3	7	3	4	3	1	0	3
NV	1984	0	2	0	0	0	0	0	1	3	1	0	0
NV	1985	1	0	0	0	0	1	4	0	1	3	0	
NV	1986	7		3	0	1	0	2	3	0	0	2	0
NV	1987	0		0	2	0	2	0	1	1	0	2	0
NV	1988		2	3	1	0	3	0	2	0	3	0	
NV	1989	0	1	1	3	0	2	0	5	1	1	2	0
NV	1990	9	0	1	1	0	0	1	0	3		1	0
NV	1991	0		2	1	1	0	5	0	1	2		0
NV	1992	1	0	0	0	1	0	2	4	3	0	1	
NV	1993	0	0		0	2	1	0	0	0	3	2	0
NV	1994	0	0	3	0	0	8	2	9	2	0	4	1
NV	1995		1	0		0	0	3	0	0	2		
NV	1996			4	0	0	0	0	0	0	1	0	0
NV	1997		2		0	0	0	1	1	2	1	0	
NV	1998		0	5	2	0	0	1	0	0	5	1	0
NV	1999	0	1	0	1	1	0	0	1	12	0		0
NV	2000	1	1	2	0	0	3	3	0	0	0	0	1
NV	2001	0	0	1	4	0	0	3	1	0	1	0	0
NV	2002	4	0	6	0	1	6	0	1	0	0	0	0
NV	2003	6	0	0	1	0	1	4	2	0	0		0
NV	2004	0	0	0	0	0	0	0	0	1	1	1	0
NV	2005	0				1	2	3	1	0	0	0	1
NV	2006	0	0	0	4	0	1		6	0	0	1	3
NV	2007		1	0	1	4	2	3	0	4	0	0	0
NV	2008		7	0	0	1	0		1	0	0		
NV	2009	0	0	0	1	0	2	1	0	2	1	0	
NV	2010	2	0	0	0	1	0	1	0	1	0		
NV	2011	0	0	0	1								
NY	1982	3	0	5	6	3	1	4	3	0	0	0	1
NY	1983	2	2	8	4	2	4	2	4	2	4	0	0
NY	1984	17	13	2	2	0	0	2	2	2	2	0	0
NY	1985	0	0	0	6	2	4	3	2	6	0	0	0
NY	1986	2	14	1	10	2	2	1	3	1	0	1	2
NY	1987	0	3	0	1	0	1	2	0	0	5	0	1
NY	1988		1	1	3	9	2	2	2	9	0	3	0
NY	1989	2	4	11	0	3	3	5	1	18	0	0	0
NY	1990	5	1	0	1	1	2	7	2	8	1	1	0
NY	1991	0	0	6	4	1	4	3	2	0	3	0	6
NY	1992	0	1	12	0	5	2	11	0	1	0	0	0
NY	1993	2	0	1	3	3	2	3	2	0	0	1	1
NY	1994	0	0	30	0	3	11	1	2	0	1	0	0
NY	1995		5	0	33	3	3	1	0	3	6	0	24
NY	1996		33	2	2	8	0	0	2	2	5	0	0
NY	1997			0	1	3	1	2	0	0	0	1	4
NY	1998	0	0	0	0	2	4	4	0	3	1	1	0
NY	1999	2	2	4	2	0	1	0	4	1	0	5	0
NY	2000	0	0	2	0		0	2	3	1	0	1	0
NY	2001	0		1	0	1	1	5	3	0	0	0	0
NY	2002		2	0	0	4	0	1	35	0	0	6	0
NY	2003	6	0	23	0	2	3	6	0	3	0	0	1
