State	EventYear	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
AL	1991	0	0	0	0	1	0	1		2	2		0
AL	1992	0		0	0	0	1	3	1	0	1	0	0
AL	1993	1	0		1	0	0	0		1	0	0	0
AL	1994	0		0	1	1	0	0	0	1	0	3	0
AL	1995	1	0	0	3	2	1	0	0	0	4		1
AL	1996	0	0	0	1	1	0	0	0	0	3	1	0
AL	1997		0	0	1	0	0	1	0			0	0
AL	1998	1	0	1		1	0	0	2	1	1	1	1
AL	1999	0		1	1	1	0	2	2	1	0	0	1
AL	2000		0	0	0	0	1	2	4	0	1	0	
AL	2001	1	2	0	0	2	1	0	0	0	3	0	0
AL	2002	0		0	0	0	0	0	0	1	3	0	
AL	2003	0	0	0	0	1	1	1		0	3	0	3
AL	2004	1	0	2		1	2	2	0	0	4	0	0
AL	2005	0	0	1		0	2	0	0	3	0	0	0
AL	2006	3	0	0	0	0	0	0		0	0	0	
AL	2007	0	0	2	2	0	0	2		1	0	0	0
AL	2008	0		0	2	1	6	0	0	0	2	0	
AL	2009	0			0	6			1	0			0
AL	2010	0		1		0		0				0	0
AL	2011	0	2	0									
AO	2001				0								
AO	2002											0	
AO	2004				0								
AO	2005										2		
AR	1982	0	0	0	2	0	2	0	0		2	0	1
AR	1983		0	0	3	0	1	2	2	1	0	0	0
AR	1984	0	1	0	1	1	2	2	3	1	1	0	3
AR	1985	0	1	0	1	3	0	0	1	0	1	0	0
AR	1986	0	1	0	0	0	1	1	0	0	0	1	0
AR	1987	1	1	1	1	1	4	0	0	0	0	0	2
AR	1988	0	3	0	0	0	1	1	6	1	0	0	0
AR	1989		0	1	3	1	1	1	2	2	1	0	
AR	1990	0	2	3	0	1	1	1	0	1	1	0	
AR	1991	0	0	0	1	1	1	2	2	0	2		0
AR	1992		0	1	1	1	3	2	0	1	1	1	0
AR	1993	0		1	15	1	0	0	0	0	0	0	0
AR	1994	0	2	0	2	3	0	0	1	2	0	0	
AR	1995	1	0	0	2	0	0	2	0	0	1	1	0
AR	1996	0	1	0	1	3	1	2	1	2	2		0
AR	1997		1	0	0	1	2	5	0	1	0	0	0
AR	1998	0	0	1	1	2	1	0	1		3	0	0
AR	1999	0	0	3	0	0	66	0	3	0	1	0	
AR	2000	0		2	0	1	0	2	1	2	0	1	0
AR	2001	0	1		3		2	0	3		3		0
AR	2002	0	0	0	0	2	1	1		6	2	1	0
AR	2003	0	1	1	0	0	1	1	44	0	0	1	0
AR	2004	2	0	0	0	0	0	0	1		0		0
AR	2005	0	0	0	0	2	2	1	0	0	0	0	
AR	2006	0	0	2	4	1	0	0	0	0	1	0	0
AR	2007	0	0		0	1	2	1			2		0
AR	2008			0	0	0	0	1	0	0		0	1
AR	2009	0		0	0	1	1	0	0			0	
AR	2010	0	0	0		6	2	0	0	0	1	0	0
AR	2011	0	2	1	0								
AZ	1982	4	1	2	2	4	0	1	2	9	2	0	5
AZ	1983	1	1	0	1	2	6	7	3	0	0	4	1
AZ	1984	1	4	7	5	2	2	12	4	4	0	1	2
AZ	1985	0	0	2	4	2	3	1	1	0	1	2	4
AZ	1986	6	1	1	2	6	1	1	0	0	1	2	4
AZ	1987	5	2	6	5	1	0	14	3	3	7	5	0
AZ	1988	3	0	11	1	2	1	1	4	1	0	0	1
AZ	1989	0	6	2	5	2	4	1	6	4	1	0	11
AZ	1990	0	1	2	0	5	2	0	2	0	2	9	0
AZ	1991	1	3	5	2	0	5	1	2	3	3	1	0
AZ	1992	3	0	2	3	0	0	1	0	0	4	2	3
AZ	1993	0	6	5	0	0	0	5	18	1	0	3	6
AZ	1994	0	0	2	1	2	0	2	4	0	0	0	0
AZ	1995	2	2	0	1	2	1	2	5	1	0	0	0
AZ	1996	0	0	0	5	3	3	0	1	13	1	1	0
AZ	1997	4	2	3	0	1	2	4	0	0	0	3	0
AZ	1998	0	0	1	4	0	2	0	1	5	3	0	0
AZ	1999	1	5	1	3	5	2	1	5	2	1	3	0
AZ	2000	0	2	0	2	4	1	0	2	10	5	2	7
AZ	2001	3	4	1	3	1	0	4	3	1	0	1	2
AZ	2002	1	0	6	2	3	0	3	11	1	1	4	2
AZ	2003	2	3	1	0	9	4	6	0	2	1	2	0
AZ	2004	0	4	0	0	0	0	2	0	1	1	0	1
AZ	2005	1	1	3	7	4	4	3	0	2	2	4	0
AZ	2006	1	2	2	0	3	0	1	0	1	2	2	0
AZ	2007	0	0	2	3	0	2	1	0	4	1	0	3
AZ	2008	0	4	3	2	4	0	0	0	2	2	0	0
AZ	2009	0	0	0	3	4	0	4	0	0	1	4	0
AZ	2010	0	1	4	1	1	0	0	1	1	3	1	1
AZ	2011	2	0	0	2								
CA	1962							0					
CA	1977						0						
CA	1982	14	4	14	3	39	6	14	5	10	9	3	20
CA	1983	11	4	14	14	8	19	8	6	16	4	13	11
CA	1984	11	9	6	8	16	11	3	10	5	8	2	7
CA	1985	15	15	8	13	3	6	12	22	6	11	15	66
CA	1986	6	0	8	5	11	8	6	25	3	7	7	7
CA	1987	11	19	4	15	19	9	5	7	8	6	9	1
CA	1988	4	4	14	11	4	11	21	18	6	4	14	6
CA	1989	8	3	7	11	6	7	11	10	4	5	3	9
CA	1990	3	3	6	5	17	11	14	61	4	1	7	6
CA	1991	6	37	2	4	14	11	20	10	9	4	0	3
CA	1992	1	7	3	3	10	8	9	20	6	3	0	4
CA	1993	4	4	3	8	5	7	7	2	10	3	5	2
CA	1994	12	6	6	8	9	11	8	5	10	1	6	23
CA	1995	1	6	5	2	7	13	7	2	7	12	6	3
CA	1996	2	4	7	1	3	13	7	5	2	8	3	9
CA	1997	0	5	1	3	5	7	6	11	6	11	4	1
CA	1998	2	0	11	2	6	6	7	5	2	9	4	4
CA	1999	4	3	7	4	17	15	6	6	19	2	1	10
CA	2000	3	8	46	6	6	4	8	8	2	9	0	2
CA	2001	3	2	5	1	9	2	6	6	0	3	0	0
CA	2002	2	5	2	6	5	2	2	8	4	4	10	0
CA	2003	4	3	1	4	4	2	3	3	1	1	3	6
CA	2004	2	3	4	5	5	2	5	1	3	2	2	0
CA	2005	5	1	3	3	9	10	4	3	4	2	0	6
CA	2006	4	8	3	2	7	7	8	5	4	3	0	0
CA	2007	5	4	4	14	6	8	7	2	9	3	1	0
CA	2008	1	4	2	4	3	8	4	11	6	2	4	0
CA	2009	3	5	4	4	2	0	5	0	9	1	4	4
CA	2010	8	1	0	2	1	2	0	13	3	3	5	1
CA	2011	2	4	2	4								
CO	1982	2	6	2	1	0	2	6	1	6	0	0	4
CO	1983	0	1	1	0	1	3	2	1	3	4	0	7
CO	1984	2	2	0	0	6	1	3	0	1	4	0	1
